iter	Passed	Remaining
0	58	58853
1	59	29652
2	59	19905
3	60	15021
4	60	12085
5	61	10129
6	61	8728
7	62	7694
8	62	6868
9	62	6206
10	63	5666
11	63	5211
12	63	4828
13	63	4497
14	64	4211
15	64	3962
16	64	3742
17	64	3545
18	65	3370
19	65	3212
20	65	3069
21	66	2938
22	66	2821
23	66	2712
24	67	2613
25	67	2522
26	67	2439
27	68	2361
28	68	2287
29	68	2218
30	68	2155
31	69	2094
32	69	2036
33	69	1983
34	70	1933
35	70	1889
36	70	1845
37	71	1803
38	71	1762
39	71	1726
40	72	1690
41	72	1655
42	72	1621
43	73	1589
44	73	1558
45	73	1530
46	74	1502
47	74	1475
48	74	1449
49	75	1425
50	75	1402
51	75	1378
52	75	1356
53	76	1337
54	76	1316
55	77	1298
56	77	1282
57	77	1264
58	78	1245
59	78	1229
60	78	1213
61	79	1199
62	79	1183
63	79	1168
64	80	1154
65	80	1139
66	80	1125
67	80	1109
68	81	1095
69	81	1082
70	81	1070
71	82	1059
72	82	1047
73	82	1035
74	83	1024
75	83	1015
76	83	1004
77	84	994
78	84	984
79	84	974
80	85	964
81	85	954
82	85	945
83	85	937
84	86	927
85	86	919
86	86	909
87	86	901
88	87	894
89	87	887
90	88	879
91	88	872
92	88	864
93	88	857
94	89	850
95	89	843
96	89	836
97	90	830
98	90	823
99	90	816
100	91	810
101	91	803
102	91	798
103	92	793
104	92	787
105	92	781
106	93	776
107	93	770
108	93	765
109	94	761
110	94	757
111	94	753
112	95	748
113	95	743
114	96	739
115	96	733
116	96	728
117	96	724
118	97	718
119	97	714
120	97	710
121	98	706
122	98	700
123	98	696
124	99	693
125	99	689
126	99	685
127	99	680
128	100	676
129	100	672
130	100	669
131	101	666
132	101	662
133	101	659
134	102	655
135	102	652
136	103	649
137	103	645
138	103	642
139	104	638
140	104	635
141	104	633
142	105	630
143	105	627
144	105	623
145	106	620
146	106	617
147	106	614
148	107	611
149	107	608
150	107	605
151	108	603
152	108	600
153	108	598
154	109	595
155	109	592
156	109	589
157	110	587
158	110	584
159	110	582
160	111	580
161	111	577
162	112	576
163	112	573
164	113	571
165	113	569
166	113	567
167	114	565
168	114	562
169	114	560
170	115	558
171	115	555
172	115	554
173	116	552
174	116	549
175	116	547
176	117	545
177	117	543
178	118	541
179	118	539
180	118	536
181	118	534
182	119	532
183	119	530
184	120	528
185	120	526
186	120	524
187	121	522
188	121	520
189	121	519
190	122	516
191	122	515
192	122	513
193	123	511
194	123	509
195	123	507
196	124	506
197	124	504
198	125	503
199	125	501
200	125	499
201	125	497
202	126	495
203	126	494
204	127	492
205	127	490
206	127	489
207	128	487
208	128	485
209	128	484
210	129	482
211	129	480
212	129	479
213	130	478
214	130	476
215	130	474
216	131	473
217	131	471
218	131	470
219	132	468
220	132	467
221	133	466
222	133	465
223	133	463
224	134	462
225	134	461
226	135	459
227	135	458
228	135	457
229	136	455
230	136	454
231	136	453
232	137	451
233	137	450
234	137	448
235	138	447
236	138	445
237	138	443
238	139	442
239	139	441
240	139	440
241	140	439
242	140	437
243	140	436
244	141	435
245	141	433
246	141	432
247	142	431
248	142	429
249	142	428
250	143	426
251	143	425
252	143	424
253	144	423
254	144	422
255	144	421
256	145	419
257	145	418
258	145	417
259	146	415
260	146	414
261	146	413
262	147	412
263	147	410
264	147	409
265	148	408
266	148	407
267	148	406
268	149	405
269	149	404
270	149	402
271	150	401
272	150	400
273	150	399
274	151	398
275	151	397
276	151	396
277	152	395
278	152	394
279	152	393
280	153	392
281	153	391
282	153	389
283	154	388
284	154	388
285	154	386
286	155	385
287	155	385
288	156	383
289	156	383
290	156	382
291	157	381
292	157	379
293	157	378
294	158	377
295	158	376
296	158	375
297	159	374
298	159	373
299	159	372
300	160	372
301	160	371
302	160	370
303	161	369
304	161	368
305	162	367
306	162	366
307	162	365
308	163	365
309	163	363
310	163	363
311	164	361
312	164	360
313	164	359
314	164	358
315	165	357
316	165	356
317	165	355
318	166	354
319	166	353
320	166	352
321	167	351
322	167	351
323	167	350
324	168	349
325	168	348
326	168	347
327	169	346
328	169	345
329	169	344
330	169	343
331	170	342
332	170	341
333	170	340
334	170	339
335	171	338
336	171	337
337	171	336
338	172	335
339	172	334
340	172	334
341	173	333
342	173	332
343	173	331
344	173	330
345	174	329
346	174	328
347	174	327
348	175	326
349	175	325
350	175	324
351	176	324
352	176	323
353	176	322
354	177	321
355	177	320
356	177	319
357	177	319
358	178	318
359	178	317
360	178	316
361	179	315
362	179	314
363	179	313
364	179	312
365	180	312
366	180	311
367	180	310
368	181	309
369	181	308
370	181	308
371	182	307
372	182	306
373	182	305
374	183	305
375	183	304
376	183	303
377	183	302
378	184	301
379	184	300
380	184	299
381	184	299
382	185	298
383	185	297
384	186	297
385	186	296
386	186	295
387	186	294
388	187	294
389	187	293
390	187	292
391	188	291
392	188	290
393	188	290
394	188	289
395	189	288
396	189	287
397	189	287
398	190	286
399	190	285
400	190	285
401	191	284
402	191	283
403	191	282
404	192	282
405	192	281
406	192	280
407	192	279
408	193	279
409	193	278
410	193	277
411	194	277
412	194	276
413	194	275
414	195	274
415	195	274
416	195	273
417	196	272
418	196	272
419	196	271
420	196	270
421	197	270
422	197	269
423	197	268
424	198	268
425	198	267
426	198	266
427	199	266
428	199	265
429	199	264
430	200	264
431	200	263
432	200	263
433	201	262
434	201	261
435	201	260
436	202	260
437	202	259
438	202	258
439	202	258
440	203	257
441	203	256
442	203	256
443	204	255
444	204	254
445	204	254
446	204	253
447	205	252
448	205	252
449	205	251
450	206	250
451	206	250
452	206	249
453	206	248
454	207	248
455	207	247
456	207	246
457	208	246
458	208	245
459	208	244
460	209	244
461	209	243
462	209	243
463	209	242
464	210	241
465	210	241
466	210	240
467	211	239
468	211	239
469	211	238
470	211	238
471	212	237
472	212	236
473	212	236
474	213	235
475	213	234
476	213	234
477	213	233
478	214	233
479	214	232
480	214	231
481	215	231
482	215	230
483	215	229
484	215	229
485	216	228
486	216	228
487	216	227
488	217	226
489	217	226
490	217	225
491	217	225
492	218	224
493	218	223
494	218	223
495	219	222
496	219	222
497	219	221
498	220	220
499	220	220
500	220	219
501	221	219
502	221	218
503	221	218
504	221	217
505	222	216
506	222	216
507	222	215
508	222	215
509	223	214
510	223	213
511	223	213
512	224	212
513	224	212
514	224	211
515	225	211
516	225	210
517	225	209
518	225	209
519	226	208
520	226	208
521	226	207
522	227	207
523	227	206
524	227	206
525	228	205
526	228	204
527	228	204
528	228	203
529	229	203
530	229	202
531	229	202
532	230	201
533	230	200
534	230	200
535	230	199
536	231	199
537	231	198
538	231	198
539	231	197
540	232	196
541	232	196
542	232	195
543	232	195
544	233	194
545	233	194
546	233	193
547	233	192
548	234	192
549	234	191
550	234	191
551	235	190
552	235	190
553	235	189
554	235	189
555	236	188
556	236	188
557	236	187
558	237	187
559	237	186
560	237	186
561	238	185
562	238	185
563	238	184
564	238	183
565	239	183
566	239	182
567	239	182
568	240	181
569	240	181
570	240	180
571	240	180
572	241	179
573	241	179
574	241	178
575	242	178
576	242	177
577	242	177
578	243	176
579	243	176
580	243	175
581	244	175
582	244	174
583	244	174
584	244	173
585	245	173
586	245	172
587	245	172
588	246	171
589	246	171
590	246	170
591	246	170
592	247	169
593	247	169
594	247	168
595	248	168
596	248	167
597	248	167
598	248	166
599	249	166
600	249	165
601	249	165
602	249	164
603	250	164
604	250	163
605	250	163
606	251	162
607	251	162
608	251	161
609	252	161
610	252	160
611	252	160
612	252	159
613	253	159
614	253	158
615	253	158
616	253	157
617	254	157
618	254	156
619	254	156
620	255	155
621	255	155
622	255	154
623	256	154
624	256	153
625	256	153
626	256	152
627	257	152
628	257	151
629	257	151
630	257	150
631	258	150
632	258	149
633	258	149
634	259	148
635	259	148
636	259	147
637	259	147
638	260	147
639	260	146
640	261	146
641	261	145
642	261	145
643	261	144
644	262	144
645	262	143
646	262	143
647	263	142
648	263	142
649	263	141
650	264	141
651	264	141
652	264	140
653	264	140
654	265	139
655	265	139
656	265	138
657	265	138
658	266	137
659	266	137
660	266	136
661	267	136
662	267	135
663	267	135
664	267	134
665	268	134
666	268	134
667	268	133
668	269	133
669	269	132
670	269	132
671	269	131
672	270	131
673	270	130
674	270	130
675	271	130
676	271	129
677	271	129
678	272	128
679	272	128
680	272	127
681	273	127
682	273	126
683	273	126
684	273	125
685	274	125
686	274	125
687	274	124
688	275	124
689	275	123
690	275	123
691	276	122
692	276	122
693	276	122
694	276	121
695	277	121
696	277	120
697	277	120
698	278	119
699	278	119
700	278	118
701	278	118
702	279	118
703	279	117
704	279	117
705	280	116
706	280	116
707	280	115
708	280	115
709	281	114
710	281	114
711	281	113
712	282	113
713	282	113
714	282	112
715	283	112
716	283	111
717	283	111
718	283	110
719	284	110
720	284	110
721	284	109
722	285	109
723	285	108
724	285	108
725	286	107
726	286	107
727	286	107
728	286	106
729	287	106
730	287	105
731	287	105
732	288	104
733	288	104
734	288	104
735	289	103
736	289	103
737	289	102
738	290	102
739	290	101
740	290	101
741	290	101
742	291	100
743	291	100
744	291	99
745	292	99
746	292	99
747	292	98
748	292	98
749	293	97
750	293	97
751	293	96
752	294	96
753	294	96
754	294	95
755	294	95
756	295	94
757	295	94
758	295	93
759	295	93
760	296	93
761	296	92
762	296	92
763	297	91
764	297	91
765	297	90
766	297	90
767	298	90
768	298	89
769	298	89
770	299	88
771	299	88
772	299	87
773	299	87
774	300	87
775	300	86
776	300	86
777	300	85
778	301	85
779	301	85
780	301	84
781	302	84
782	302	83
783	302	83
784	303	83
785	303	82
786	303	82
787	303	81
788	304	81
789	305	81
790	305	80
791	305	80
792	306	79
793	306	79
794	306	79
795	307	78
796	307	78
797	307	77
798	308	77
799	308	77
800	308	76
801	308	76
802	309	75
803	309	75
804	309	74
805	309	74
806	310	74
807	310	73
808	310	73
809	311	72
810	311	72
811	311	72
812	311	71
813	312	71
814	312	70
815	312	70
816	313	70
817	313	69
818	313	69
819	313	68
820	314	68
821	314	68
822	314	67
823	314	67
824	315	66
825	315	66
826	315	66
827	316	65
828	316	65
829	316	64
830	316	64
831	317	64
832	317	63
833	317	63
834	318	62
835	318	62
836	318	62
837	318	61
838	319	61
839	319	60
840	319	60
841	320	60
842	320	59
843	320	59
844	321	58
845	321	58
846	321	58
847	321	57
848	322	57
849	322	56
850	322	56
851	323	56
852	323	55
853	323	55
854	323	54
855	324	54
856	324	54
857	324	53
858	325	53
859	325	52
860	325	52
861	325	52
862	326	51
863	326	51
864	326	50
865	326	50
866	327	50
867	328	49
868	328	49
869	328	49
870	329	48
871	329	48
872	329	47
873	329	47
874	330	47
875	330	46
876	330	46
877	330	45
878	331	45
879	331	45
880	331	44
881	332	44
882	332	44
883	332	43
884	333	43
885	333	42
886	333	42
887	333	42
888	334	41
889	334	41
890	334	40
891	335	40
892	335	40
893	335	39
894	335	39
895	336	39
896	336	38
897	336	38
898	336	37
899	337	37
900	337	37
901	337	36
902	338	36
903	338	35
904	338	35
905	339	35
906	339	34
907	339	34
908	339	34
909	340	33
910	340	33
911	340	32
912	341	32
913	341	32
914	341	31
915	341	31
916	342	30
917	342	30
918	342	30
919	342	29
920	343	29
921	343	29
922	343	28
923	344	28
924	344	27
925	344	27
926	345	27
927	345	26
928	345	26
929	345	26
930	346	25
931	346	25
932	346	24
933	347	24
934	347	24
935	347	23
936	347	23
937	348	23
938	348	22
939	348	22
940	348	21
941	349	21
942	349	21
943	349	20
944	350	20
945	350	19
946	350	19
947	350	19
948	351	18
949	351	18
950	351	18
951	351	17
952	352	17
953	352	17
954	352	16
955	353	16
956	353	15
957	353	15
958	353	15
959	354	14
960	354	14
961	354	14
962	355	13
963	355	13
964	355	12
965	355	12
966	356	12
967	356	11
968	356	11
969	357	11
970	357	10
971	357	10
972	357	9
973	358	9
974	358	9
975	358	8
976	359	8
977	359	8
978	359	7
979	359	7
980	360	6
981	360	6
982	360	6
983	361	5
984	361	5
985	361	5
986	361	4
987	362	4
988	362	4
989	362	3
990	362	3
991	363	2
992	363	2
993	363	2
994	363	1
995	364	1
996	364	1
997	364	0
998	365	0
999	365	0
