iter	Passed	Remaining
0	55	55621
1	56	27953
2	56	18778
3	56	14156
4	57	11393
5	57	9544
6	57	8224
7	58	7227
8	58	6460
9	59	5843
10	59	5337
11	59	4915
12	60	4560
13	60	4257
14	60	3986
15	60	3749
16	61	3543
17	61	3361
18	61	3197
19	62	3053
20	62	2918
21	62	2796
22	63	2686
23	63	2584
24	63	2490
25	64	2404
26	64	2326
27	64	2250
28	65	2181
29	65	2116
30	65	2057
31	66	2003
32	66	1951
33	66	1901
34	67	1856
35	67	1812
36	67	1768
37	68	1728
38	68	1690
39	68	1654
40	69	1620
41	69	1587
42	69	1555
43	70	1525
44	70	1497
45	70	1469
46	71	1445
47	71	1420
48	71	1396
49	72	1374
50	72	1353
51	73	1333
52	73	1313
53	73	1294
54	74	1274
55	74	1255
56	74	1238
57	75	1220
58	75	1204
59	75	1188
60	76	1172
61	76	1157
62	76	1141
63	77	1126
64	77	1112
65	77	1098
66	77	1085
67	78	1072
68	78	1059
69	78	1047
70	79	1035
71	79	1024
72	79	1012
73	80	1002
74	80	992
75	80	983
76	81	973
77	81	963
78	81	953
79	82	944
80	82	935
81	82	926
82	82	916
83	83	909
84	83	900
85	84	892
86	84	885
87	84	878
88	85	871
89	85	864
90	85	857
91	86	849
92	86	843
93	86	836
94	87	830
95	87	824
96	88	819
97	88	813
98	88	806
99	88	800
100	89	795
101	89	789
102	90	784
103	90	778
104	90	772
105	90	767
106	91	761
107	91	756
108	91	751
109	92	746
110	92	741
111	92	736
112	93	731
113	93	727
114	93	722
115	94	717
116	94	712
117	94	709
118	95	706
119	95	702
120	96	698
121	96	693
122	96	689
123	97	686
124	97	682
125	97	678
126	98	674
127	98	670
128	98	666
129	99	662
130	99	659
131	99	655
132	100	651
133	100	648
134	100	644
135	100	641
136	101	638
137	101	634
138	101	631
139	102	628
140	102	624
141	102	620
142	103	618
143	103	615
144	103	613
145	104	610
146	104	607
147	105	604
148	105	601
149	105	599
150	106	596
151	106	593
152	106	591
153	107	588
154	107	585
155	107	583
156	108	580
157	108	577
158	108	575
159	109	573
160	109	569
161	109	567
162	110	564
163	110	562
164	110	560
165	111	558
166	111	555
167	111	552
168	111	550
169	112	547
170	112	545
171	112	542
172	113	541
173	113	539
174	113	536
175	114	534
176	114	532
177	114	530
178	115	528
179	115	526
180	115	524
181	116	522
182	116	520
183	116	518
184	117	516
185	117	513
186	117	511
187	118	509
188	118	507
189	118	505
190	118	503
191	119	502
192	119	500
193	120	498
194	120	497
195	120	495
196	121	493
197	121	492
198	121	490
199	122	489
200	122	487
201	122	485
202	123	483
203	123	482
204	123	480
205	124	478
206	124	477
207	124	475
208	125	473
209	125	472
210	125	470
211	126	469
212	126	467
213	126	466
214	127	464
215	127	462
216	127	461
217	128	460
218	128	458
219	129	457
220	129	455
221	129	454
222	130	453
223	130	451
224	130	449
225	130	448
226	131	446
227	131	445
228	131	444
229	132	442
230	132	441
231	132	439
232	133	438
233	133	436
234	133	435
235	134	433
236	134	432
237	134	430
238	134	429
239	135	428
240	135	427
241	136	426
242	136	424
243	136	423
244	136	422
245	137	420
246	137	419
247	137	417
248	138	416
249	138	415
250	138	413
251	138	412
252	139	411
253	139	410
254	139	408
255	140	407
256	140	406
257	140	405
258	141	404
259	141	403
260	142	402
261	142	400
262	142	399
263	142	398
264	143	397
265	143	396
266	143	395
267	144	394
268	144	393
269	144	391
270	145	390
271	145	389
272	145	388
273	146	387
274	146	386
275	147	385
276	147	384
277	147	383
278	148	383
279	148	382
280	149	381
281	149	380
282	149	379
283	150	378
284	150	377
285	150	376
286	150	375
287	151	374
